name,hospital,city,notes
林铮 医生,"
浙江大学医学院附属第二医院 ：
",北京,"可确诊ADHD）
"
金嘉郦 医生,"
浙江大学医学院附属第二医院 ：
",北京,"可确诊ADHD）
"
丁万涛 医生,"
温州市第七人民医院 ：
",北京,"可确诊ADHD）
"
李轶琛 医生,"
武汉市精神卫生中心（二七院区） ：
",北京,"可确诊ADHD）
"
汤珺 医生,"
武汉市精神卫生中心（二七院区） ：
",北京,"可确诊ASD与ADHD）
"
张焱 医生,"
武汉市精神卫生中心（二七院区） ：
",北京,"可确诊ADHD）
"
路晓文 医生,"
武汉市精神卫生中心（二七院区） ：
",北京,"可确诊ADHD）
"
斯亮 医生,"
武汉市精神卫生中心（二七院区） ：
",北京,"可确诊ADHD）
"
"
医生
","
湖北宜昌市二医院（学习困难门诊） ：
",北京,
曹晓华 医生,"
山西医科大学第一医院 ：
",北京,"可确诊ADHD）
"
王亚萍 医生,"
西安交大第二附属医院 ：
",北京,"可确诊ADHD）
"
张欢 医生,"
西安交大第二附属医院 ：
",北京,"可确诊ADHD）
"
李强 医生,"
西安交大第一附属医院 ：
",北京,"可确诊ADHD）
"
白洁 医生,"
高新医院 ：
",北京,"可确诊ADHD）
"
栾树鑫 医生,"
吉林大学白求恩第一医院 ：
",北京,"可确诊ADHD）
"
王瑞 医生,"
吉林大学白求恩第一医院 ：
",北京,"可确诊ADHD）
"
田润辉 医生,"
吉林大学白求恩第一医院 ：
",北京,"可确诊ADHD）
"
郑微 医生,"
厦门仙岳医院 ：
",北京,"可确诊ASD与ADHD）
"
王文强 医生,"
厦门仙岳医院 ：
",北京,"可确诊ASD与ADHD）
"
石磊 医生,"
厦门仙岳医院 ：
",北京,"可确诊ADHD）
"
黄颐 医生,"
四川大学华西医院 ：
",北京,"可确诊ADHD）
"
司徒明镜 医生,"
四川大学华西医院 ：
",北京,"可确诊ADHD）
"
李元媛 医生,"
四川大学华西医院 ：
",北京,"可确诊ADHD）
"
多动症科室 医生,"
成都四医院 ：
",北京,"可确诊ADHD）
"
蒲昭霞 医生,"
成都军区机关医院 ：
",北京,"可确诊ADHD）
"
刘芳 医生,"
成都市四医院九江院区（成都市心理健康中心） ：
",北京,"可确诊ADHD）
"
朱敏 医生,"
成都市四医院九江院区（成都市心理健康中心） ：
",北京,"可确诊ADHD）
"
康延海 医生,"
海南省人民医院 - 精神科 ：
",北京,"可确诊ADHD）
"
莫芸 医生,"
贵州省第二人民医院 ：
",北京,"可确诊ADHD）
"
秦岭 医生,"
广西壮族自治区人民医院（桃源院区） ：
",北京,"可确诊ADHD）
"
刘海润 医生,"
广西壮族自治区人民医院（桃源院区） ：
",北京,"可确诊ADHD）
"
傅燕虹 医生,"
广西壮族自治区人民医院（桃源院区） ：
",北京,"可确诊ADHD）
"
黄思艳 医生,"
广西壮族自治区人民医院（桃源院区） ：
",北京,"可确诊ADHD）
"
张鸿 医生,"
广西壮族自治区人民医院（桃源院区） ：
",北京,"可确诊ADHD）
"
李丹丹 医生,"
广西壮族自治区人民医院（桃源院区） ：
",北京,"可确诊ADHD）
"
梁佳 医生,"
广西壮族自治区人民医院（桃源院区） ：
",北京,"可确诊ADHD）
"
尤美娜 医生,"
广西医科大学第一附属医院 ：
",北京,"可确诊ADHD）
"
周文琴 医生,"
江西省妇幼保健院九龙湖院区 ：
",北京,"可确诊ADHD）
"
邹邵红 医生,"
新疆人民医院 ：
",北京,"可确诊ADHD）
"
佟钙玉 医生,"
新疆人民医院 ：
",北京,"可确诊ADHD）
"
钟慧 医生,"
合肥市第四人民医院 ：
",北京,"可确诊ADHD）
"
朱丽 医生,"
合肥市第四人民医院 ：
",北京,"可确诊ADHD）
"
雷彤 医生,"
天津市安定医院 ：
",北京,"可确诊ADHD）
"
随广红 医生,"
天津市安定医院 ：
",北京,"可确诊ADHD）
"
麦棨诺,"
中建医务（中建醫務） ：
",北京,"麥棨諾） 医生
"
麦棨诺,"
澳门镜湖医院（澳門鏡湖醫院） ：
",北京,"麥棨諾） 医生
"
吴秋霞 医生,"
广州医科大学附属脑科医院（广州市惠爱医院） ：
",广东,"可确诊ASD与ADHD）
"
程道猛 医生,"
广州医科大学附属脑科医院（广州市惠爱医院） ：
",广东,"可确诊ADHD）
"
李苏义 医生,"
广州医科大学附属脑科医院（广州市惠爱医院） ：
",广东,"可确诊ADHD）
"
叶碧瑜 医生,"
广州医科大学附属脑科医院（广州市惠爱医院） ：
",广东,"可确诊ADHD）
"
王中磊 医生,"
深圳市康宁医院 ：
",广东,"可确诊ASD与ADHD）
"
石顺治 医生,"
深圳市康宁医院 ：
",广东,"可确诊ADHD）
"
李颖源 医生,"
深圳市康宁医院 ：
",广东,"可确诊ASD与ADHD）
"
齐云柯 医生,"
深圳市康宁医院 ：
",广东,"可确诊ADHD）
"
杨志伟 医生,"
深圳市康宁医院 ：
",广东,"可确诊ASD）
"
王冰 医生,"
深圳市康宁医院 ：
",广东,"可确诊ADHD）
"
齐玉 医生,"
深圳市康宁医院 ：
",广东,"可确诊ADHD）
"
杨帆 医生,"
广东省人民医院 ：
",广东,"可确诊ADHD）
"
戚元丽 医生,"
广东省人民医院 ：
",广东,"可确诊ADHD）
"
贾滟滨 医生,"
广州暨南大学附属第一医院精神心理科 ：
",广东,"可确诊ADHD）
"
查彩慧 医生,"
广州妇幼保健院（广州市妇女儿童医疗中心） ：
",广东,"可确诊ADHD）
"
李雷俊 医生,"
中山大学附属第三医院 ：
",广东,"可确诊ASD与ADHD）
"
刘军 医生,"
广州医学院第二附属医院心理科 ：
",广东,"可确诊ADHD）
"
苏程 医生,"
广州医学院第二附属医院心理科 ：
",广东,"可确诊ADHD）
"
李艾 医生,"
汕头大学精神卫生中心 ：
",广东,"可确诊ASD与ADHD）
"
黄燕虹 医生,"
汕头大学精神卫生中心 ：
",广东,"可确诊ADHD）
"
冯婉霞 医生,"
佛山顺德大良伍仲佩纪念医院 ：
",广东,"可确诊ASD与ADHD）
"
许律琴 医生,"
江门市妇幼保健院 ：
",广东,"可确诊ADHD）
"
张艳红 医生,"
中山市博爱医院（妇幼保健院） ：
",广东,"可确诊ADHD）
"
何淑华 医生,"
中山市博爱医院（妇幼保健院） ：
",广东,"可确诊ADHD）
"
庄志成 医生,"
珠海市妇幼保健院 ：
",广东,"可确诊ASD与ADHD）
"
陈强 医生,"
珠海市妇幼保健院 ：
",广东,"可确诊ADHD）
"
张国荣 医生,"
何贤纪念医院（广东省广州市番禺区） ：
",广东,"可确诊ADHD）
"
梁烨 医生,"
广东医科大学顺德妇女儿童医院（佛山市顺德区妇幼保健院） ：
",广东,"可确诊ADHD）
"
祝勇敢 医生,"
江门市第四人民医院 ：
",广东,"可确诊ADHD）
"
张劲松 医生,"
上海新华医院 ：
",广东,"可确诊ASD与ADHD）
"
夏卫萍 医生,"
上海新华医院 ：
",广东,"可确诊ADHD）
"
王兰兰 医生,"
上海市第一人民医院松江南院 ：
",广东,"可确诊ADHD）
"
王兰兰 医生,"
上海第一人民医院虹口院区 ：
",广东,"可确诊ADHD）
"
刘飞 医生,"
上海同济大学附属医院 - ADHD门诊 ：
",广东,"可确诊ADHD）
"
曹亚宁 医生,"
上海市宝山区精神卫生中心 ：
",广东,"可确诊ADHD）
"
王敏建 医生,"
重庆市精神卫生中心 ：
",广东,"可确诊ASD与ADHD）
"
冉曼利 医生,"
重庆市精神卫生中心 ：
",广东,"可确诊ASD与ADHD）
"
张骁 医生,"
重庆市精神卫生中心 ：
",广东,"可确诊ASD与ADHD）
"
王霞 医生,"
河北省儿童医院心理行为科 ：
",广东,"可确诊ADHD）
"
李素水 医生,"
石家庄市第八医院精八科 ：
",广东,"可确诊ADHD）
"
曹旭影 医生,"
河北医科大学第一医院 ：
",广东,"可确诊ADHD）
"
王岚 医生,"
河北医科大学第一医院 ：
",广东,"可确诊ADHD）
"
张欣 医生,"
河北省第六人民医院 ：
",广东,"可确诊ADHD）
"
姚梅玲 医生,"
河南省妇幼保健院（郑大三附院）心理门诊 ：
",广东,"可确诊ASD）
"
段桂琴 医生,"
河南省妇幼保健院（郑大三附院）心理门诊 ：
",广东,"可确诊ADHD）
"
宋春兰 医生,"
河南省妇幼保健院（郑大三附院）心理门诊 ：
",广东,"可确诊ADHD）
"
卢瑾 医生,"
昆明医学院附属第一医院(云大医院) ：
",广东,"可确诊ASD与ADHD）
"
杨润许 医生,"
昆明医学院附属第一医院(云大医院) ：
",广东,"可确诊ADHD）
"
戴南 医生,"
昆明医学院附属第一医院(云大医院) ：
",广东,"可确诊ADHD）
"
姜爽 医生,"
辽宁省肿瘤医院 ：
",广东,"可确诊ASD与ADHD）
"
彭淼 医生,"
中国医科大学沈阳盛京医院（滑翔院区） ：
",广东,"可确诊ASD与ADHD）
"
高倩 医生,"
中国医科大学沈阳盛京医院（滑翔院区） ：
",广东,"可确诊ADHD）
"
巴宇辰 医生,"
中国医科大学附属鞍山医院 ：
",广东,"可确诊ADHD）
"
李奕 医生,"
大连市第七人民医院 ：
",广东,"可确诊ADHD）
"
崔夕龙 医生,"
中南大学湘雅二医院 ：
",广东,"可确诊ADHD）
"
⻩春香 医生,"
中南大学湘雅二医院 ：
",广东,"可确诊ADHD）
"
苏林雁 医生,"
中南大学湘雅二医院 ：
",广东,"可确诊ADHD）
"
欧建君 医生,"
中南大学湘雅二医院 ：
",广东,"可确诊ASD与ADHD）
"
贺莹 医生,"
中南大学湘雅二医院 ：
",广东,"可确诊ADHD）
"
殷爱华 医生,"
山东省精神卫生中心 ：
",广东,"可确诊ADHD）
"
徐德峰 医生,"
山东省精神卫生中心 ：
",广东,"可确诊ADHD）
"
焦志安 医生,"
山东省立医院 ：
",广东,"可确诊ADHD）
"
刘传新 医生,"
山东省济宁医学院附属医院 ：
",广东,"可确诊ADHD）
"
"
医生
","
青岛精神卫生中心（青岛市第七人民医院） ：
",广东,
王俊 医生,"
青岛市立医院 ：
",广东,"可确诊ADHD）
"
秦俊峰 医生,"
青岛市立医院 ：
",广东,"可确诊ADHD）
"
王克 医生,"
青岛市立医院 ：
",广东,"可确诊ADHD）
"
王冠军 医生,"
青岛市立医院 ：
",广东,"可确诊ADHD）
"
万好 医生,"
青岛市立医院 ：
",广东,"可确诊ADHD）
"
冀永娟 医生,"
青岛妇女儿童医院 ：
",广东,"可确诊ADHD）
"
赵约翰 医生,"
山东潍坊市人民医院 ：
",广东,"可确诊ADHD）
"
孙榕蔚 医生,"
威海市立医院 ：
",广东,"可确诊ADHD）
"
肖立群 医生,"
山东泰安解放军八十八医院 ：
",广东,"可确诊ADHD）
"
焦公凯 医生,"
南京脑科儿童心理卫生中心 ：
",广东,"可确诊ASD与ADHD）
"
张会会 医生,"
南京脑科儿童心理卫生中心 ：
",广东,"可确诊ADHD）
"
鲍晨曦 医生,"
南京脑科儿童心理卫生中心 ：
",广东,"可确诊ADHD）
"
柯晓燕 医生,"
南京脑科儿童心理卫生中心 ：
",广东,"可确诊ADHD）
"
梁金凤 医生,"
南京脑科儿童心理卫生中心 ：
",广东,"可确诊ADHD）
"
殷璐 医生,"
南京脑科儿童心理卫生中心 ：
",广东,"可确诊ASD与ADHD）
"
卜茹 医生,"
扬州五台山医院 ：
",广东,"可确诊ADHD）
"
王万章 医生,"
扬州五台山医院 ：
",广东,"可确诊ADHD）
"
高婷叶 医生,"
常州市德安医院 ：
",广东,"可确诊ADHD）
"
付广慧 医生,"
浙江大学医学院附属第一医院 （余杭院区）（庆春院区） ：
",广东,"可确诊ADHD）
"
胡少华 医生,"
浙江大学医学院附属第一医院 （余杭院区）（庆春院区） ：
",广东,"可确诊ADHD）
"
陆绍佳 医生,"
浙江大学医学院附属第一医院 （余杭院区）（庆春院区） ：
",广东,"可确诊ADHD）
"
刘艳 医生,"
杭州市第七人民医院 ：
",广东,"可确诊ADHD）
"
程芳 医生,"
宁波市康宁医院 ：
",广东,"可确诊ASD）
"
覃艳华 医生,"
浙江大学邵逸夫医院 ：
",广东,"可确诊ADHD）
"
刘畅 医生,"
浙江金华妇幼保健院 ：
",广东,"可确诊ADHD）
"
于学力 医生,"
温州医科大学附属康宁医院 ：
",广东,"可确诊ADHD）
"
叶敏捷 医生,"
温州医科大学附属康宁医院 ：
",广东,"可确诊ADHD）
"
祝勇敢 医生,"
江山市第四人民医院 ：
",广东,"可确诊ADHD）
"
林铮 医生,"
浙江大学医学院附属第二医院 ：
",广东,"可确诊ADHD）
"
金嘉郦 医生,"
浙江大学医学院附属第二医院 ：
",广东,"可确诊ADHD）
"
丁万涛 医生,"
温州市第七人民医院 ：
",广东,"可确诊ADHD）
"
李轶琛 医生,"
武汉市精神卫生中心（二七院区） ：
",广东,"可确诊ADHD）
"
汤珺 医生,"
武汉市精神卫生中心（二七院区） ：
",广东,"可确诊ASD与ADHD）
"
张焱 医生,"
武汉市精神卫生中心（二七院区） ：
",广东,"可确诊ADHD）
"
路晓文 医生,"
武汉市精神卫生中心（二七院区） ：
",广东,"可确诊ADHD）
"
斯亮 医生,"
武汉市精神卫生中心（二七院区） ：
",广东,"可确诊ADHD）
"
"
医生
","
湖北宜昌市二医院（学习困难门诊） ：
",广东,
曹晓华 医生,"
山西医科大学第一医院 ：
",广东,"可确诊ADHD）
"
王亚萍 医生,"
西安交大第二附属医院 ：
",广东,"可确诊ADHD）
"
张欢 医生,"
西安交大第二附属医院 ：
",广东,"可确诊ADHD）
"
李强 医生,"
西安交大第一附属医院 ：
",广东,"可确诊ADHD）
"
白洁 医生,"
高新医院 ：
",广东,"可确诊ADHD）
"
栾树鑫 医生,"
吉林大学白求恩第一医院 ：
",广东,"可确诊ADHD）
"
王瑞 医生,"
吉林大学白求恩第一医院 ：
",广东,"可确诊ADHD）
"
田润辉 医生,"
吉林大学白求恩第一医院 ：
",广东,"可确诊ADHD）
"
郑微 医生,"
厦门仙岳医院 ：
",广东,"可确诊ASD与ADHD）
"
王文强 医生,"
厦门仙岳医院 ：
",广东,"可确诊ASD与ADHD）
"
石磊 医生,"
厦门仙岳医院 ：
",广东,"可确诊ADHD）
"
黄颐 医生,"
四川大学华西医院 ：
",广东,"可确诊ADHD）
"
司徒明镜 医生,"
四川大学华西医院 ：
",广东,"可确诊ADHD）
"
李元媛 医生,"
四川大学华西医院 ：
",广东,"可确诊ADHD）
"
多动症科室 医生,"
成都四医院 ：
",广东,"可确诊ADHD）
"
蒲昭霞 医生,"
成都军区机关医院 ：
",广东,"可确诊ADHD）
"
刘芳 医生,"
成都市四医院九江院区（成都市心理健康中心） ：
",广东,"可确诊ADHD）
"
朱敏 医生,"
成都市四医院九江院区（成都市心理健康中心） ：
",广东,"可确诊ADHD）
"
康延海 医生,"
海南省人民医院 - 精神科 ：
",广东,"可确诊ADHD）
"
莫芸 医生,"
贵州省第二人民医院 ：
",广东,"可确诊ADHD）
"
秦岭 医生,"
广西壮族自治区人民医院（桃源院区） ：
",广东,"可确诊ADHD）
"
刘海润 医生,"
广西壮族自治区人民医院（桃源院区） ：
",广东,"可确诊ADHD）
"
傅燕虹 医生,"
广西壮族自治区人民医院（桃源院区） ：
",广东,"可确诊ADHD）
"
黄思艳 医生,"
广西壮族自治区人民医院（桃源院区） ：
",广东,"可确诊ADHD）
"
张鸿 医生,"
广西壮族自治区人民医院（桃源院区） ：
",广东,"可确诊ADHD）
"
李丹丹 医生,"
广西壮族自治区人民医院（桃源院区） ：
",广东,"可确诊ADHD）
"
梁佳 医生,"
广西壮族自治区人民医院（桃源院区） ：
",广东,"可确诊ADHD）
"
尤美娜 医生,"
广西医科大学第一附属医院 ：
",广东,"可确诊ADHD）
"
周文琴 医生,"
江西省妇幼保健院九龙湖院区 ：
",广东,"可确诊ADHD）
"
邹邵红 医生,"
新疆人民医院 ：
",广东,"可确诊ADHD）
"
佟钙玉 医生,"
新疆人民医院 ：
",广东,"可确诊ADHD）
"
钟慧 医生,"
合肥市第四人民医院 ：
",广东,"可确诊ADHD）
"
朱丽 医生,"
合肥市第四人民医院 ：
",广东,"可确诊ADHD）
"
雷彤 医生,"
天津市安定医院 ：
",广东,"可确诊ADHD）
"
随广红 医生,"
天津市安定医院 ：
",广东,"可确诊ADHD）
"
麦棨诺,"
中建医务（中建醫務） ：
",广东,"麥棨諾） 医生
"
麦棨诺,"
澳门镜湖医院（澳門鏡湖醫院） ：
",广东,"麥棨諾） 医生
"
张劲松 医生,"
上海新华医院 ：
",上海,"可确诊ASD与ADHD）
"
夏卫萍 医生,"
上海新华医院 ：
",上海,"可确诊ADHD）
"
王兰兰 医生,"
上海市第一人民医院松江南院 ：
",上海,"可确诊ADHD）
"
王兰兰 医生,"
上海第一人民医院虹口院区 ：
",上海,"可确诊ADHD）
"
刘飞 医生,"
上海同济大学附属医院 - ADHD门诊 ：
",上海,"可确诊ADHD）
"
曹亚宁 医生,"
上海市宝山区精神卫生中心 ：
",上海,"可确诊ADHD）
"
王敏建 医生,"
重庆市精神卫生中心 ：
",上海,"可确诊ASD与ADHD）
"
冉曼利 医生,"
重庆市精神卫生中心 ：
",上海,"可确诊ASD与ADHD）
"
张骁 医生,"
重庆市精神卫生中心 ：
",上海,"可确诊ASD与ADHD）
"
王霞 医生,"
河北省儿童医院心理行为科 ：
",上海,"可确诊ADHD）
"
李素水 医生,"
石家庄市第八医院精八科 ：
",上海,"可确诊ADHD）
"
曹旭影 医生,"
河北医科大学第一医院 ：
",上海,"可确诊ADHD）
"
王岚 医生,"
河北医科大学第一医院 ：
",上海,"可确诊ADHD）
"
张欣 医生,"
河北省第六人民医院 ：
",上海,"可确诊ADHD）
"
姚梅玲 医生,"
河南省妇幼保健院（郑大三附院）心理门诊 ：
",上海,"可确诊ASD）
"
段桂琴 医生,"
河南省妇幼保健院（郑大三附院）心理门诊 ：
",上海,"可确诊ADHD）
"
宋春兰 医生,"
河南省妇幼保健院（郑大三附院）心理门诊 ：
",上海,"可确诊ADHD）
"
卢瑾 医生,"
昆明医学院附属第一医院(云大医院) ：
",上海,"可确诊ASD与ADHD）
"
杨润许 医生,"
昆明医学院附属第一医院(云大医院) ：
",上海,"可确诊ADHD）
"
